项目名称	yananxq zuobi	yananxq youbi	yancuan zuobi	yancuan youbi	qingjianbei zuobi	qingjianbei youbi	mizhibei zuobi	mizhibei youbi	yulingnan zuobi	
T绕组电流有效值（A）	1908.2	1009.5	1529.5	1436.0	1744.1	1609.6	1591.0	1547.8	2008.4	
T绕组功率有效值（kVA）	52476.4	27761.2	42061.3	39489.6	47962.9	44263.7	43752.6	43339.7	55230.4	
T绕组电流最大值（A）	2452.8	1647.5	2005.9	2106.2	2257.5	2397.6	2126.9	2456.2	3197.7	
T绕组功率最大值（kVA）	67452.1	45307.3	55163.0	57920.3	62080.8	65933.1	58490.9	68774.4	87936.2	
F绕组电流有效值（A）	1281.9	812.7	1188.0	1024.5	1178.6	1131.9	1128.5	1180.6	1235.3	
F绕组功率有效值（kVA）	35252.2	22349.9	32669.3	28174.3	32412.4	31126.7	31033.9	33057.5	33970.9	
F绕组电流最大值（A）	1635.6	1282.9	1617.1	1495.6	1401.3	1595.5	1615.4	1937.7	1950.9	
F绕组功率最大值（kVA）	44980.2	35278.4	44470.2	41128.3	38534.8	43875.2	44423.6	54254.7	53650.1	
高压绕组电流有效值（A）	3187.7	1820.5	2716.2	2458.5	2919.7	2738.3	2718.0	2727.3	3242.5	
高压绕组功率有效值（kVA）	87661.6	50062.5	74696.6	67608.8	80290.6	75303.5	74744.2	76363.4	89169.5	
高压绕组电流最大值（A）	4088.1	2921.6	3620.6	3425.3	3650.4	3993.0	3740.8	4393.4	5148.6	
高压绕组功率最大值（kVA）	112423.8	80345.2	99565.6	94197.0	100386.8	109807.0	102873.3	123014.9	141586.3	
下行T线电流有效值（A）	1258.6	645.1	782.8	673.0	796.0	717.3	777.5	858.1	607.1	
上行T线电流有效值（A）	663.2	409.7	836.2	856.4	986.7	924.4	880.6	771.6	934.1	
下行F线电流有效值（A）	641.0	406.4	594.0	512.2	589.3	565.9	564.3	590.3	617.7	
上行F线电流有效值（A）	641.0	406.4	594.0	512.2	589.3	565.9	564.3	590.3	617.7	
下行T线电流最大值（A）	1742.6	1345.4	1151.5	1133.9	1083.6	1048.8	1192.0	1200.7	1436.7	
上行T线电流最大值（A）	965.5	691.0	1260.4	1284.9	1339.9	1449.2	1290.9	1472.8	1412.5	
下行F线电流最大值（A）	818.5	641.7	808.9	747.3	701.8	797.5	807.9	968.1	974.7	
上行F线电流最大值（A）	818.5	641.7	808.9	747.3	701.8	797.5	807.9	968.1	974.7	
下行T线电流有效值（A）	  	  	  	  	  	  	  	  	95.0	
上行T线电流有效值（A）	  	  	  	  	  	  	  	  	664.0	
下行F线电流有效值（A）	  	  	  	  	  	  	  	  	0.0	
上行F线电流有效值（A）	  	  	  	  	  	  	  	  	0.0	
下行T线电流最大值（A）	  	  	  	  	  	  	  	  	125.3	
上行T线电流最大值（A）	  	  	  	  	  	  	  	  	1019.8	
下行F线电流最大值（A）	  	  	  	  	  	  	  	  	0.0	
上行F线电流最大值（A）	  	  	  	  	  	  	  	  	0.0	
