项目名称	gengzhenzuobi	gengzhenyoubi	fupingzuobi	fupingyoubi	wangyizuobi	wangyiyoubi	huanglingxizuobi	huanglignxiyoubi	jiezihezuobi	jieziheyoubi	guanjiazuobi	guanjiayoubi	
T绕组电流有效值（A）	852.0	897.3	535.4	771.5	847.8	859.5	1084.4	699.0	992.7	1079.7	941.0	980.7	
T绕组功率有效值（kVA）	23431.3	24676.4	14723.9	21216.8	23314.7	23636.3	29820.9	19222.0	28292.3	29692.7	26817.3	26969.2	
T绕组电流最大值（A）	1279.8	1233.7	1019.7	1205.5	1274.9	1278.7	2034.1	1208.9	1912.2	1529.3	1232.4	1569.5	
T绕组功率最大值（kVA）	35194.5	33927.1	28040.8	33150.6	35059.6	35163.8	55937.5	33245.8	54496.7	42056.9	35124.6	43161.7	
F绕组电流有效值（A）	809.8	757.7	464.3	685.0	717.9	774.9	885.2	614.4	765.3	804.9	786.0	810.5	
F绕组功率有效值（kVA）	22270.9	20837.1	12768.9	18837.6	19741.7	21310.3	24342.3	16897.1	21811.7	22133.6	22402.4	22288.3	
F绕组电流最大值（A）	1230.8	1034.1	987.5	1108.8	1078.6	1186.9	1466.1	1045.4	1435.8	1050.2	1102.0	1333.3	
F绕组功率最大值（kVA）	33848.0	28437.7	27155.7	30491.7	29662.2	32638.7	40318.5	28747.2	40920.4	28880.8	31407.8	36665.5	
高压绕组电流有效值（A）	1658.5	1641.4	989.2	1445.5	1549.1	1623.4	1947.1	1305.2	1737.5	1846.5	1707.0	1774.3	
高压绕组功率有效值（kVA）	45608.9	45137.4	27203.3	39752.5	42600.6	44643.8	53545.6	35892.8	49519.1	50779.2	48648.2	48794.0	
高压绕组电流最大值（A）	2507.3	2225.8	2004.0	2281.3	2239.7	2411.9	3443.6	2193.3	3303.0	2219.8	2244.2	2883.4	
高压绕组功率最大值（kVA）	68951.7	61208.7	55111.1	62736.9	61591.2	66326.1	94699.6	60316.4	94134.4	61043.1	63959.9	79292.6	
下行T线电流有效值（A）	176.5	526.9	357.1	483.9	486.8	516.8	480.8	368.8	492.3	601.9	490.3	527.6	
上行T线电流有效值（A）	190.8	502.0	319.6	373.4	481.3	434.6	674.2	443.3	598.2	523.5	509.4	574.1	
下行F线电流有效值（A）	131.4	378.9	232.4	342.8	359.3	387.8	442.4	307.1	382.8	402.5	393.0	405.0	
上行F线电流有效值（A）	130.8	378.8	232.0	342.2	358.6	387.2	442.7	307.4	382.5	402.4	393.0	405.5	
下行T线电流最大值（A）	504.5	1078.3	767.2	817.5	920.2	1184.0	1514.9	1133.5	854.2	906.9	987.3	1133.9	
上行T线电流最大值（A）	379.8	1051.6	711.8	592.0	1077.1	864.1	1553.8	1029.4	1456.7	936.8	1065.4	1102.7	
下行F线电流最大值（A）	270.7	517.0	494.2	555.0	540.0	593.5	733.7	522.3	718.4	525.1	551.0	667.1	
上行F线电流最大值（A）	269.4	517.1	493.2	553.8	538.6	593.5	732.5	523.1	717.4	525.2	551.0	666.1	
下行T线电流有效值（A）	384.5	  	  	  	  	  	  	  	  	  	  	  	
上行T线电流有效值（A）	431.7	  	  	  	  	  	  	  	  	  	  	  	
下行F线电流有效值（A）	292.2	  	  	  	  	  	  	  	  	  	  	  	
上行F线电流有效值（A）	291.2	  	  	  	  	  	  	  	  	  	  	  	
下行T线电流最大值（A）	909.9	  	  	  	  	  	  	  	  	  	  	  	
上行T线电流最大值（A）	1081.2	  	  	  	  	  	  	  	  	  	  	  	
下行F线电流最大值（A）	474.6	  	  	  	  	  	  	  	  	  	  	  	
上行F线电流最大值（A）	475.5	  	  	  	  	  	  	  	  	  	  	  	
